year,habitat,abtotal,sd,se
1981,robledal,110.83,5.762218431768381,1.2285090974505208
1982,cumbres,5.93,0.7907117047318827,0.39535585236594134
1984,enebral,26.31,2.7332627023394584,0.9110875674464861
1985,enebral,29.25,3.015750321230191,1.0052501070767303
2008,cumbres,3.84,0.4904419775399872,0.2452209887699936
2008,enebral,25.81,1.8176080129909444,0.57477812144243
2008,robledal,31.74,1.5494287372334055,0.36520385568768343
2009,cumbres,2.49,0.3637306695894642,0.21
2009,enebral,22.2,1.3775662920124347,0.43562471106319123
2009,robledal,16.81,0.9251973581431971,0.26708147188875275
2010,enebral,15.68,1.2560937180686114,0.4440961929260692
2010,robledal,34.85,2.3707319914825034,0.5438832196363769
2011,enebral,13.17,0.8136799124963083,0.27122663749876946
2011,robledal,41.19,1.4764175813295082,0.31477328597946885
2012,cumbres,8.89,0.8620150810745715,0.38550486378254684
2012,enebral,20.6,1.670641925860968,0.5283033640290816
2012,robledal,31.58,1.4636410152920085,0.31204931294770916
2013,cumbres,0.62,NA,NA
2013,enebral,15.06,2.1476482154074623,0.7593083083589018
2013,robledal,40.1,2.0687281187753417,0.5017402673174147
2014,cumbres,2.8,0.5427092530382482,0.31333333333333335
2014,enebral,16.87,2.5973107887454154,0.8213417883763939
2014,robledal,32.18,1.2858874342283984,0.2741521221301724
2015,cumbres,8.11,0.6493265742290238,0.3246632871145119
2015,enebral,30.53,2.5430456269217943,0.7341140386323993
2015,robledal,35.11,1.4644831985929503,0.3122288670307727
2016,cumbres,6.24,0.6275109560796529,0.2806314308839978
2016,enebral,15.57,1.2124871133335808,0.40416237111119363
2017,cumbres,4.47,0.487749935930288,0.2816025568065745
2017,enebral,16.57,1.5517950179639635,0.490720671846803
2017,robledal,8.28,1.3259551813153951,0.5011639513397277
2018,cumbres,4.37,0.9568873148565266,0.5524591488165538
2018,enebral,16.56,0.9587871125921162,0.2767779987753012
2018,robledal,45,1.5512960338424722,0.3042341826123792
